league,season,team,players_used,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,url,nextSeason
GER-Bundesliga,2022,Mainz 05,27,34.0,547,341,268,206,73,270,559,48.3,289,419,98,321,433,980,673,9,/en/squads/a224b06a/Mainz-05-Stats,2023
GER-Bundesliga,2022,RB Leipzig,25,34.0,534,312,237,231,66,253,512,49.4,259,428,94,334,310,844,552,3,/en/squads/acbb6a5b/RB-Leipzig-Stats,2023
GER-Bundesliga,2022,Schalke 04,35,34.0,542,329,240,246,56,253,551,45.9,298,397,110,287,306,848,723,12,/en/squads/c539e393/Schalke-04-Stats,2023
GER-Bundesliga,2022,Stuttgart,30,34.0,528,316,255,207,66,268,524,51.1,256,421,113,308,308,836,666,10,/en/squads/598bc722/Stuttgart-Stats,2023
GER-Bundesliga,2022,Union Berlin,28,34.0,494,278,217,216,61,239,525,45.5,286,356,101,255,262,756,704,6,/en/squads/7a41008f/Union-Berlin-Stats,2023
GER-Bundesliga,2022,Werder Bremen,25,34.0,595,349,269,273,53,300,617,48.6,317,371,103,268,321,916,789,7,/en/squads/62add3bf/Werder-Bremen-Stats,2023
GER-Bundesliga,2022,Wolfsburg,28,34.0,543,324,255,206,82,265,521,50.9,256,443,116,327,292,835,701,9,/en/squads/4eaa11d7/Wolfsburg-Stats,2023
ITA-Serie A,2017,Atalanta,25,38.0,725,488,334,313,78,272,650,41.8,378,430,107,323,476,1201,820,11,/en/squads/922493f3/2017-2018/Atalanta-Stats,2018
ITA-Serie A,2017,Benevento,41,38.0,581,409,320,206,55,191,551,34.7,360,398,140,258,449,1030,925,25,/en/squads/4fcb34fd/2017-2018/Benevento-Stats,2018
ITA-Serie A,2017,Bologna,30,38.0,661,456,356,257,48,231,588,39.3,357,488,127,361,462,1123,1121,14,/en/squads/1d8099f8/2017-2018/Bologna-Stats,2018
ITA-Serie A,2017,Cagliari,29,38.0,640,447,323,239,78,214,559,38.3,345,425,126,299,431,1071,1018,4,/en/squads/c4260e09/2017-2018/Cagliari-Stats,2018
ITA-Serie A,2017,Chievo,25,38.0,543,367,273,199,71,208,566,36.7,358,443,158,285,444,987,1140,14,/en/squads/cc919b35/2017-2018/Chievo-Stats,2018
ITA-Serie A,2017,Crotone,29,38.0,697,440,365,255,77,222,613,36.2,391,449,119,330,578,1275,1233,10,/en/squads/3074d7b1/2017-2018/Crotone-Stats,2018
ITA-Serie A,2017,Fiorentina,27,38.0,742,497,362,284,96,267,656,40.7,389,438,75,363,489,1231,983,17,/en/squads/421387cf/2017-2018/Fiorentina-Stats,2018
ITA-Serie A,2017,Genoa,33,38.0,551,395,281,223,47,191,524,36.5,333,412,119,293,394,945,950,11,/en/squads/658bf2de/2017-2018/Genoa-Stats,2018
ITA-Serie A,2017,Hellas Verona,32,38.0,664,459,351,245,68,213,603,35.3,390,425,146,279,541,1205,1113,24,/en/squads/0e72edf2/2017-2018/Hellas-Verona-Stats,2018
ITA-Serie A,2017,Inter,22,38.0,632,435,318,252,62,237,612,38.7,375,349,109,240,402,1034,804,11,/en/squads/d609edc0/2017-2018/Internazionale-Stats,2018
ITA-Serie A,2017,Juventus,24,38.0,517,359,234,204,79,155,447,34.7,292,312,77,235,421,938,747,17,/en/squads/e0652b02/2017-2018/Juventus-Stats,2018
ITA-Serie A,2017,Lazio,24,38.0,677,450,299,298,80,223,632,35.3,409,410,107,303,494,1171,789,12,/en/squads/7213da33/2017-2018/Lazio-Stats,2018
ITA-Serie A,2017,Milan,23,38.0,533,376,244,214,75,181,466,38.8,285,422,103,319,354,887,855,20,/en/squads/dc56fe14/2017-2018/Milan-Stats,2018
